City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,aqi_bucket
Ahmedabad,01-01-15,58.37,107.96,0.92,18.22,17.15,14.5,0.92,27.64,77.6225,0.0,0.02,384.5,Very Poor
Ahmedabad,02-01-15,58.37,107.96,0.97,15.69,16.46,14.5,0.97,24.55,34.06,3.68,5.5,384.5,Very Poor
Ahmedabad,03-01-15,58.37,107.96,17.4,19.3,29.7,14.5,2.985,29.07,30.7,6.605,15.78,384.5,Very Poor
Ahmedabad,04-01-15,58.37,107.96,1.7,18.48,17.97,14.5,1.7,18.59,36.08,4.43,10.14,384.5,Very Poor
Ahmedabad,05-01-15,58.37,107.96,22.1,21.42,37.76,14.5,2.985,29.925,39.31,6.605,15.78,384.5,Very Poor
Ahmedabad,06-01-15,58.37,107.96,45.41,38.48,77.0325,14.5,2.985,29.925,46.51,5.42,10.83,384.5,Very Poor
Ahmedabad,07-01-15,58.37,107.96,46.4,40.62,77.0325,14.5,2.985,29.925,33.47,0.0,0.0,384.5,Very Poor
Ahmedabad,08-01-15,58.37,107.96,46.4,36.74,77.0325,14.5,2.985,29.925,31.89,0.0,0.0,384.5,Very Poor
Ahmedabad,09-01-15,58.37,107.96,29.16,31.0,48.0,14.5,2.985,29.925,25.75,0.0,0.0,384.5,Very Poor
Ahmedabad,10-01-15,58.37,107.96,16.28,7.04,0.0,14.5,2.985,8.29,4.55,0.0,0.0,384.5,Very Poor
Ahmedabad,11-01-15,58.37,107.96,46.4,55.8,24.53,14.5,2.985,25.03,6.79,0.0,0.0,384.5,Very Poor
Ahmedabad,12-01-15,58.37,107.96,46.4,40.67,77.0325,14.5,2.985,29.925,45.89,2.41,0.03,384.5,Very Poor
Ahmedabad,13-01-15,58.37,107.96,46.4,44.2,77.0325,14.5,2.985,29.925,35.16,6.605,13.35,384.5,Very Poor
Ahmedabad,14-01-15,58.37,107.96,19.2,27.86,33.05,14.5,2.985,29.925,20.96,2.16,2.26,384.5,Very Poor
Ahmedabad,15-01-15,58.37,107.96,0.6,16.96,16.6,14.5,0.6,28.89,47.63,0.14,0.04,384.5,Very Poor
Ahmedabad,16-01-15,58.37,107.96,1.63,21.72,22.86,14.5,1.63,29.925,46.03,0.35,0.05,384.5,Very Poor
Ahmedabad,17-01-15,58.37,107.96,11.44,24.73,34.75,14.5,2.985,29.925,52.24,0.68,0.0,384.5,Very Poor
Ahmedabad,18-01-15,58.37,107.96,6.1,25.77,29.57,14.5,2.985,29.925,53.49,0.74,0.21,384.5,Very Poor
Ahmedabad,19-01-15,58.37,107.96,2.51,26.88,27.45,14.5,2.51,29.925,49.48,0.26,0.02,384.5,Very Poor
Ahmedabad,20-01-15,58.37,107.96,7.92,26.8,32.4,14.5,2.985,29.925,56.37,0.24,0.01,384.5,Very Poor
Ahmedabad,21-01-15,58.37,107.96,9.52,33.56,39.28,14.5,2.985,29.925,48.75,0.33,0.0,384.5,Very Poor
Ahmedabad,22-01-15,58.37,107.96,9.05,17.51,22.33,14.5,2.985,23.71,42.22,0.0,0.0,384.5,Very Poor
Ahmedabad,23-01-15,58.37,107.96,22.53,27.96,47.79,14.5,2.985,29.925,32.92,0.39,0.0,384.5,Very Poor
Ahmedabad,24-01-15,58.37,107.96,2.03,20.39,21.4,14.5,2.03,29.925,32.49,0.47,0.7,384.5,Very Poor
Ahmedabad,25-01-15,58.37,107.96,1.42,20.43,20.19,14.5,1.42,29.925,39.26,0.01,0.0,384.5,Very Poor
Ahmedabad,26-01-15,58.37,107.96,2.27,21.16,21.81,14.5,2.27,29.925,39.83,0.06,0.0,384.5,Very Poor
Ahmedabad,27-01-15,58.37,107.96,2.19,21.7,23.26,14.5,2.19,29.925,41.1,0.02,0.0,384.5,Very Poor
Ahmedabad,28-01-15,73.24,107.96,5.72,21.11,25.84,14.5,2.985,29.925,62.42,0.03,0.01,384.5,Very Poor
Ahmedabad,29-01-15,83.13,107.96,6.93,28.71,33.72,14.5,2.985,29.925,59.76,0.02,0.0,209.0,Poor
Ahmedabad,30-01-15,79.84,107.96,13.85,28.68,41.08,14.5,2.985,29.925,77.6225,0.04,0.0,328.0,Very Poor
Ahmedabad,31-01-15,94.52,107.96,24.39,32.66,52.61,14.5,2.985,29.925,77.6225,0.24,0.01,391.0,Very Poor
Ahmedabad,01-02-15,135.99,107.96,43.48,42.08,77.0325,14.5,2.985,29.925,77.6225,0.4,0.04,391.0,Very Poor
Ahmedabad,02-02-15,148.7425,107.96,46.4,35.31,72.8,14.5,2.985,29.925,77.6225,0.46,0.06,391.0,Very Poor
Ahmedabad,03-02-15,139.7,107.96,30.61,28.4,56.73,14.5,2.985,29.925,73.6,0.17,0.03,391.0,Very Poor
Ahmedabad,04-02-15,80.65,107.96,2.37,22.83,24.0,14.5,2.37,25.73,47.3,0.0,0.0,294.0,Poor
Ahmedabad,05-02-15,58.36,107.96,2.6,21.39,23.31,14.5,2.6,29.925,53.54,0.0,0.0,149.0,Moderate
Ahmedabad,06-02-15,79.29,107.96,1.16,26.94,26.83,14.5,1.16,29.925,59.3,0.0,0.0,190.0,Moderate
Ahmedabad,07-02-15,88.7,107.96,7.29,31.32,37.73,14.5,2.985,29.925,44.76,0.0,0.0,247.0,Poor
Ahmedabad,08-02-15,74.28,107.96,8.92,27.3,33.42,14.5,2.985,29.925,47.42,0.0,0.0,379.0,Very Poor
Ahmedabad,09-02-15,113.93,107.96,4.32,24.27,26.86,14.5,2.985,29.925,39.94,0.02,0.0,341.0,Very Poor
Ahmedabad,10-02-15,105.39,107.96,1.41,18.21,18.75,14.5,1.41,29.925,56.15,0.0,0.0,256.0,Poor
Ahmedabad,11-02-15,66.52,107.96,6.34,23.8,28.24,14.5,2.985,29.925,53.14,6.605,9.63,388.0,Very Poor
Ahmedabad,12-02-15,65.04,107.96,14.19,30.1,44.21,14.5,2.985,29.925,31.88,6.605,15.78,288.0,Poor
Ahmedabad,13-02-15,103.36,107.96,18.18,39.56,57.33,14.5,2.985,29.925,40.11,6.605,15.78,391.0,Very Poor
Ahmedabad,14-02-15,148.7425,107.96,37.49,47.58,77.0325,14.5,2.985,29.925,36.47,6.605,15.78,391.0,Very Poor
Ahmedabad,15-02-15,113.25,107.96,15.55,30.5,44.87,14.5,2.985,29.925,33.78,6.605,15.78,391.0,Very Poor
Ahmedabad,16-02-15,99.7,107.96,19.85,28.1,47.31,14.5,2.985,29.925,30.57,6.605,15.78,391.0,Very Poor
Ahmedabad,17-02-15,80.61,107.96,15.96,21.04,35.67,14.5,2.985,29.925,36.2,6.605,15.78,391.0,Very Poor
Ahmedabad,18-02-15,100.79,107.96,16.24,25.93,41.91,14.5,2.985,29.925,37.43,6.605,15.78,391.0,Very Poor
Ahmedabad,19-02-15,107.99,107.96,11.25,30.09,40.47,14.5,2.985,29.925,31.94,6.605,15.78,391.0,Very Poor
Ahmedabad,20-02-15,140.29,107.96,33.84,36.14,68.85,14.5,2.985,29.925,40.98,6.605,15.78,391.0,Very Poor
Ahmedabad,21-02-15,148.7425,107.96,46.4,46.25,77.0325,14.5,2.985,29.925,33.55,6.605,15.78,391.0,Very Poor
Ahmedabad,22-02-15,142.96,107.96,45.45,48.21,77.0325,14.5,2.985,29.925,34.77,6.605,15.78,391.0,Very Poor
Ahmedabad,23-02-15,148.7425,107.96,46.4,55.07,77.0325,14.5,2.985,29.925,37.3,6.605,15.78,391.0,Very Poor
Ahmedabad,24-02-15,118.72,107.96,12.56,32.01,42.56,14.5,2.985,29.925,38.8,6.605,15.78,391.0,Very Poor
Ahmedabad,25-02-15,52.99,107.96,2.23,10.45,10.39,14.5,2.23,29.925,67.25,3.85,11.39,292.0,Poor
Ahmedabad,26-02-15,58.37,107.96,16.28,47.19,39.51,14.5,2.985,29.925,39.51,3.87,15.78,384.5,Very Poor
Ahmedabad,27-02-15,58.37,107.96,16.28,47.19,39.51,14.5,2.985,29.925,39.51,3.87,15.78,384.5,Very Poor
Ahmedabad,28-02-15,58.37,107.96,16.28,47.19,39.51,14.5,2.985,29.925,39.51,3.87,15.78,384.5,Very Poor
Ahmedabad,01-03-15,61.12,107.96,3.58,16.81,20.92,14.5,2.985,28.44,30.48,2.69,1.58,384.5,Very Poor
Ahmedabad,02-03-15,60.78,107.96,9.07,18.21,27.34,14.5,2.985,29.48,34.75,2.05,0.55,189.0,Moderate
Ahmedabad,03-03-15,91.83,107.96,12.99,28.71,40.76,14.5,2.985,29.925,38.46,2.69,1.74,391.0,Very Poor
Ahmedabad,04-03-15,93.88,107.96,18.21,29.38,47.01,14.5,2.985,29.925,46.79,5.21,2.55,383.0,Very Poor
Ahmedabad,05-03-15,148.7425,107.96,46.4,42.27,77.0325,14.5,2.985,29.925,59.39,6.605,9.96,391.0,Very Poor
Ahmedabad,06-03-15,58.37,107.96,16.28,47.19,39.51,14.5,2.985,29.925,39.51,3.87,15.78,384.5,Very Poor
Ahmedabad,07-03-15,105.45,107.96,2.5,16.1,18.66,14.5,2.5,29.29,69.9,6.605,5.75,384.5,Very Poor
Ahmedabad,08-03-15,71.56,107.96,3.51,16.83,20.32,14.5,2.985,29.925,57.16,3.95,8.01,190.0,Moderate
Ahmedabad,09-03-15,119.8,107.96,4.13,24.07,27.9,14.5,2.985,29.925,50.49,4.85,12.15,233.0,Poor
Ahmedabad,10-03-15,106.71,107.96,5.39,25.59,30.51,14.5,2.985,29.925,60.17,5.58,14.17,297.0,Poor
Ahmedabad,11-03-15,118.49,107.96,4.11,28.94,31.83,14.5,2.985,29.925,53.61,6.605,15.78,330.0,Very Poor
Ahmedabad,12-03-15,106.01,107.96,4.28,27.31,30.54,14.5,2.985,29.925,40.91,6.605,15.54,252.0,Poor
Ahmedabad,13-03-15,97.34,107.96,3.67,21.58,24.62,14.5,2.985,29.925,45.69,5.61,15.02,244.0,Poor
Ahmedabad,14-03-15,83.92,107.96,6.42,25.03,30.8,14.5,2.985,29.925,34.94,6.605,15.78,234.0,Poor
Ahmedabad,15-03-15,49.51,107.96,3.1,14.16,16.15,14.5,2.985,29.925,37.95,4.34,11.34,219.0,Poor
Ahmedabad,16-03-15,30.76,107.96,2.72,14.14,16.98,14.5,2.72,29.925,54.78,3.58,9.38,118.0,Moderate
Ahmedabad,17-03-15,50.29,107.96,5.34,29.84,33.28,14.5,2.985,29.925,45.44,5.45,15.12,231.0,Poor
Ahmedabad,18-03-15,57.69,107.96,25.36,29.48,54.79,14.5,2.985,29.925,52.87,6.605,15.78,286.0,Poor
Ahmedabad,19-03-15,105.06,107.96,46.24,37.05,77.0325,14.5,2.985,29.925,45.65,6.605,15.78,391.0,Very Poor
Ahmedabad,20-03-15,94.1,107.96,22.14,36.53,57.49,14.5,2.985,29.925,46.77,6.605,15.78,391.0,Very Poor
Ahmedabad,21-03-15,111.89,107.96,22.25,43.29,64.53,14.5,2.985,29.925,50.57,6.605,15.78,391.0,Very Poor
Ahmedabad,22-03-15,108.59,107.96,25.38,39.34,63.01,14.5,2.985,29.925,46.68,6.605,15.78,391.0,Very Poor
Ahmedabad,23-03-15,130.76,107.96,45.61,41.03,77.0325,14.5,2.985,29.925,41.58,6.605,15.78,391.0,Very Poor
Ahmedabad,24-03-15,143.55,107.96,27.3,31.15,57.16,14.5,2.985,29.925,35.38,6.605,15.78,391.0,Very Poor
Ahmedabad,25-03-15,148.7425,107.96,23.83,34.48,57.71,14.5,2.985,29.925,43.79,6.605,15.78,391.0,Very Poor
Ahmedabad,26-03-15,148.7425,107.96,17.93,43.3,60.07,14.5,2.985,29.925,53.44,6.605,15.78,391.0,Very Poor
